|             Name |       ra |      dec | amaj | amin |  PA | FWHM |   Sp |  Sint |   S_N | nYSOs | nMIPS | nSIMBAD |
| G001.5979+0.0246 | 267.3204 | -27.5564 |   55 |   31 | 118 |   41 | 1.95 |  8.97 | 33.44 |     0 |     0 |       0 |
| G001.5993-0.0266 | 267.3708 | -27.5815 |   48 |   28 |  12 |   36 | 0.53 |  1.88 |  9.19 |     0 |     0 |       0 |
| G001.6076-0.1777 | 267.5219 |  -27.652 |   38 |   30 |  24 |   34 | 0.53 |  1.64 |   9.4 |     0 |     0 |       0 |
| G001.6084+0.0310 | 267.3203 | -27.5441 |   32 |   20 | 148 |   25 | 0.64 |  1.13 | 11.53 |     0 |     0 |       0 |
| G001.6177+0.0360 | 267.3209 | -27.5336 |   28 |   24 |   2 |   26 | 0.61 |  1.13 | 10.88 |     0 |     0 |       0 |
| G001.6359-0.0278 | 267.3931 | -27.5507 |   36 |   21 |  42 |   27 | 0.53 |  1.08 |  8.65 |     0 |     0 |       0 |
| G001.6387-0.1889 | 267.5508 | -27.6311 |   40 |   30 |  49 |   35 | 0.73 |   2.4 | 12.99 |     0 |     0 |       0 |
| G001.6486-0.0631 | 267.4347 |  -27.558 |   38 |   38 |  14 |   38 | 1.41 |  5.63 |  24.9 |     0 |     0 |       0 |
| G001.6627-0.1744 | 267.5506 |  -27.603 |   58 |   30 | 157 |   42 | 0.56 |  2.62 | 10.06 |     0 |     0 |       0 |
| G001.6662-0.1394 | 267.5187 | -27.5821 |   33 |   30 | -15 |   32 | 0.84 |  2.27 | 13.67 |     0 |     0 |       0 |
| G001.6825-0.0911 | 267.4814 | -27.5433 |   36 |   26 |  24 |   31 | 0.56 |  1.44 |  9.88 |     0 |     0 |       0 |
| G001.6971-0.1706 | 267.5668 | -27.5716 |   80 |   23 |   2 |   43 | 0.59 |  2.95 | 10.83 |     0 |     0 |       0 |
| G001.6976-0.0874 | 267.4866 | -27.5285 |   48 |   28 | -12 |   37 | 0.75 |  2.74 | 13.34 |     0 |     0 |       0 |
| G001.7174-0.4030 | 267.8039 | -27.6731 |   35 |   25 |  13 |   29 | 0.64 |  1.51 | 11.56 |     0 |     0 |       0 |
| G001.7377-0.3961 | 267.8089 | -27.6522 |   44 |   27 |  51 |   35 | 0.52 |   1.7 |  9.51 |     0 |     0 |       0 |
| G001.7640-0.4096 | 267.8371 | -27.6364 |   36 |   27 |   4 |   31 |  0.6 |  1.55 | 10.29 |     0 |     0 |       0 |
| G001.7955-0.1254 |   267.58 | -27.4639 |   49 |   29 | 137 |   38 |  0.6 |   2.3 | 10.36 |     0 |     0 |       0 |
| G002.4446-0.5447 | 268.3584 | -27.1195 |   37 |   25 |  99 |   31 |  0.7 |  1.78 | 11.66 |     0 |     0 |       0 |
| G002.5034-0.0469 | 267.9111 | -26.8155 |   43 |   31 |  70 |   37 | 0.55 |  2.02 |  9.05 |     0 |     0 |       0 |
| G002.9402+0.1305 | 267.9898 | -26.3494 |   45 |   34 |  43 |   39 | 0.56 |  2.31 |  9.81 |     0 |     0 |       0 |
| G002.9836+0.0107 | 268.1295 | -26.3731 |   37 |   26 |  53 |   31 | 0.56 |  1.49 |   9.4 |     0 |     0 |       0 |
| G003.0371-0.0582 | 268.2261 | -26.3621 |   63 |   50 |   6 |   56 | 0.55 |  4.76 |  9.58 |     0 |     0 |       0 |
| G003.0490-0.0474 | 268.2225 | -26.3463 |   23 |   21 | 149 |   22 | 0.51 |  0.66 |  8.49 |     0 |     0 |       0 |
| G003.0792+0.1620 | 268.0386 | -26.2137 |   38 |   30 | 151 |   34 | 0.55 |   1.7 |  9.24 |     0 |     0 |       0 |
| G003.0928+0.1680 | 268.0406 |  -26.199 |   54 |   44 | 105 |   49 | 1.22 |  7.84 | 21.31 |     0 |     0 |       0 |
| G003.1447+0.4733 | 267.7778 | -25.9985 |   35 |   26 |  85 |   30 | 0.53 |  1.32 |  8.31 |     0 |     0 |       0 |
